GEOID,population
060750257013,1987
060750257021,961
060750257022,1973
060750257023,1219
060750258001,1220
060750258002,909
060750259001,1976
060750259002,2152
060750260011,1844
060750260012,2069
060750260013,1288
060750260014,1215
060750260021,1768
060750260022,1915
060750260031,2610
060750260032,2310
060750260041,2272
060750260042,1567
060750261001,1062
060750261002,2418
060750261003,1597
060750261004,1802
060750262011,1057
060750262012,1237
060750262013,1357
060750262021,2341
060750262022,1522
060750263011,1288
060750263012,2406
060750263013,1651
060750263021,1901
060750263022,984
060750263023,2119
060750263031,1777
060750263032,1502
060750263033,1333
060750264011,2080
060750264012,1762
060750264021,1551
060750264022,1373
060750264023,1831
060750264031,1492
060750264032,2089
060750264041,1437
060750264042,1070
060750301011,1632
060750301012,1667
060750301013,569
060750301014,924
060750301021,1329
060750301022,701
060750301023,1919
060750301024,777
060750302011,2077
060750302012,886
060750302013,1168
060750302021,1420
060750302022,1491
060750302023,1298
060750303011,984
060750303012,2185
060750303013,1642
060750303014,1318
060750303021,1158
060750303022,1379
060750303023,1205
060750304001,1149
060750304002,929
060750304003,1550
060750304004,879
060750304005,755
060750305001,701
060750305002,1393
060750305003,1693
060750306001,797
060750306002,681
060750306003,870
060750307001,3167
060750307002,1858
060750307003,1885
060750308001,834
060750308002,1142
060750308003,579
060750308004,1738
060750308005,1614
060750309001,739
060750309002,1858
060750309003,1518
060750309004,840
060750309005,519
060750309006,309
060750309007,844
060750310001,1089
060750310002,1562
060750310003,1489
060750311001,1348
060750311002,1276
060750311003,1003
060750311004,1156
060750311005,1503
060750312011,2868
060750312012,1336
060750312013,1006
060750312014,1131
060750312021,1242
060750312022,1562
060750313011,1342
060750313012,1342
060750313013,1184
060750313021,1376
060750313022,750
060750313023,2410
060750314011,1562
060750314012,971
060750314021,2046
060750314022,1609
060750314023,890
060750326011,1611
060750326012,1906
060750326013,1398
060750326021,2029
060750326022,1239
060750326023,1076
060750327001,839
060750327002,1084
060750327003,1203
060750327004,797
060750327005,580
060750327006,1010
060750327007,1208
060750328011,1732
060750328012,1042
060750328013,1057
060750328021,1697
060750328022,1667
060750328023,1090
060750329011,1001
060750329012,1539
060750329013,1352
060750329014,1172
060750329021,1518
060750329022,1388
060750329023,1001
060750330011,1676
060750330012,1311
060750330013,1088
060750330021,1155
060750330022,1093
060750330023,2040
060750331001,441
060750331002,948
060750331003,557
060750331004,2034
060750332011,3730
060750332031,2259
060750332032,1054
060750332041,508
060750332042,1732
060750332043,1380
060750351011,1053
060750351012,1767
060750351013,1198
060750351021,910
060750351022,1267
060750351023,941
060750351024,1340
060750352011,1133
060750352012,698
060750352013,908
060750352014,1885
060750352015,681
060750352021,1687
060750352022,1258
060750352023,1933
060750353001,1380
060750353002,1434
060750353003,1132
060750353004,626
060750353005,1781
060750353006,804
060750354001,996
060750354002,1692
060750354003,1375
060750354004,1443
060750354005,1925
060750401001,1126
060750401002,1123
060750401003,1334
060750401004,645
060750402001,1585
060750402002,1316
060750402003,1254
060750402004,1309
060750426011,1521
060750426012,2605
060750426021,933
060750426022,650
060750426023,1259
060750427001,1167
060750427002,1982
060750427003,2080
060750428001,1088
060750428002,628
060750428003,632
060750451001,2228
060750451002,1259
060750451003,1351
060750452011,1023
060750452012,687
060750452013,1394
060750452021,1706
060750452022,1652
060750476001,1338
060750476002,1252
060750476003,1490
060750476004,1041
060750477011,1415
060750477012,1733
060750477013,1700
060750477021,1159
060750477022,1387
060750477023,1108
060750478011,1234
060750478012,1557
060750478013,1822
060750478021,1166
060750478022,1211
060750478023,1287
060750479021,1610
060750479022,1147
060750479023,593
