objectid,stopname,trapezestopabbr,stopid,latitude,longitude,atstreet,onstreet,shelter,insert_timestamp,sde_id,signupid,supervisor_district,shape,data_as_of,data_loaded_at,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,rucusstopabbr,position,orientation,serviceplanningstoptype,accessibilitymask,stop_lat,stop_lon,GEOID
77323,Lincoln Way&5th Ave SE-FS/BZ,LWAY 5A1,5297,37.766047,-122.46188699999999,5TH AVE,LINCOLN WY,0,1739804614000,16048492,148,7,"{'type': 'Point', 'coordinates': [-122.461887, 37.766047]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,7,11,14,109,109,LWAY 5AV,FS,SE,BZ,,37.766047,-122.46188699999999,060750301013
77336,33 Moffitt St W-MB/BZ,MOFTH 30,5634,37.736834,-122.432189,,MOFFITT ST,0,1739804614000,16048519,148,8,"{'type': 'Point', 'coordinates': [-122.432189, 37.736834]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,5,10,96,96,MOFTH 33,MB,WE,BZ,,37.736834,-122.432189,060750217003
76169,Broderick St&Bay St SE-NS/SB,BDRKBAY0,3072,37.801541,-122.44479799999999,BAY ST,BRODERICK ST,0,1739804614000,16045127,148,2,"{'type': 'Point', 'coordinates': [-122.444798, 37.801541]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,4,6,13,17,17,BDRKBAY,NS,SE,,,37.801541,-122.44479799999999,060750127002
76667,Brazil Ave&Prague St W-NS/SB,BRZLPRA0,3767,37.72052,-122.42616,PRAGUE ST,BRAZIL AVE,0,1739804614000,16046472,148,11,"{'type': 'Point', 'coordinates': [-122.42616, 37.72052]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,1,7,90,90,BRZLPRAG,NS,WE,FL,,37.72052,-122.42616,060750260031
78899,Presidio Ave&Clay St NW-NS/PS,PRESCLA0,6090,37.78918,-122.44726,CLAY ST,PRESIDIO AVE,0,1739804614000,16052056,148,2,"{'type': 'Point', 'coordinates': [-122.44726, 37.78918]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,8,6,31,10,10,PRESCLAY,NS,NW,,,37.78918,-122.44726,060750133002
78927,Powell St&Beach St W-MB/SB,POWLBEC0,6046,37.808031,-122.412508,BEACH ST,POWELL ST,0,1739804614000,16053628,148,3,"{'type': 'Point', 'coordinates': [-122.412508, 37.808031]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,6,3,23,99,99,POWLBECH,FS,SW,,,37.808031,-122.412508,060750101011
76358,25th Ave&Fulton St NW-NS/PS,25AVFUL0,3499,37.772689,-122.484295,FULTON ST,25TH AVE,0,1739804614000,16045576,148,1,"{'type': 'Point', 'coordinates': [-122.484295, 37.772689]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,8,4,29,8,8,25AVFULT,NS,NW,,,37.772689,-122.484295,060750477023
76897,Diamond Heights Blvd&Duncan St SE-NS,DHTSDUN1,4366,37.745239,-122.439852,DUNCAN ST,DIAMOND HEIGHTS BLVD,0,1739804614000,16046732,148,8,"{'type': 'Point', 'coordinates': [-122.439852, 37.745239]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,3,5,22,57,57,DHTSDUNC,NS,SE,FL,,37.745239,-122.439852,060750216003
78832,Portola Dr&Glenview Dr SE-FS/SB,PORTGLV1,6112,37.746359999999996,-122.44764,GLENVIEW DR,PORTOLA DR,0,1739804614000,16053527,148,8,"{'type': 'Point', 'coordinates': [-122.44764, 37.74636]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,5,10,57,57,PORTGLVW,FS,SE,FL,,37.746359999999996,-122.44764,060750217001
79263,Persia Ave&Naples St W-NS/PS,PERSNAP0,5917,37.720853,-122.431356,NAPLES ST,PERSIA AVE,0,1739804614000,16050970,148,11,"{'type': 'Point', 'coordinates': [-122.431356, 37.720853]}",2025-02-18T10:52:34.000,2025-02-22T10:13:21.000,9,1,7,90,90,PERSNAPL,NS,WE,,,37.720853,-122.431356,060750260014
