id,lat,lon,poi_category,poi_subcategory,poi_name,GEOID
3489924891,37.7779289,-122.4382388,shop,convenience,Save More Liquor and Grocery,060750158021
3500120299,37.7828391,-122.470542,amenity,cafe,Cafe la Flore,060750402003
3504141935,37.7514168,-122.4339129,amenity,bank,Bank of America,060750211003
3522479598,37.764262,-122.464394,amenity,cafe,Beanery,060750302021
3524458050,37.7839057,-122.4819672,shop,supermarket,6001 California Market (Appel & Dietrich),060750426011
3527319037,37.7779236,-122.4073152,,,Goldman Architects,060750178041
3529576042,37.7697007,-122.466756,amenity,cafe,Academy Cafe,060759803001
3529576043,37.7691802,-122.4667845,amenity,cafe,Terrace cafe,060759803001
3532719200,37.7719568,-122.4054484,,,Airbnb,060750180004
3534945478,37.7724625,-122.3890706,amenity,police,SFPD Headquarters,060750607013
3534945479,37.7722356,-122.3890443,amenity,police,SFPD Southern Police Station,060750607013
3540104120,37.7404899,-122.4664515,shop,convenience,West Portal Daily,060750308004
3540104121,37.7403265,-122.4666125,amenity,cafe,Peet's Coffee,060750308004
3540160997,37.7394191,-122.4670841,amenity,bank,Sterling Bank & Trust,060750308003
3540161001,37.7389501,-122.4676699,amenity,bar,The Sherwood Cocktails and Lounge,060750308003
3540255593,37.740405,-122.466539,amenity,bar,McCarthy‘s Irish Bar,060750308004
3540255594,37.7372645,-122.4698111,,,First American Title Insurance Company,060750308003
3540255699,37.7367207,-122.4702526,,,Stewart Title,060750308003
3540255701,37.7385028,-122.468169,amenity,prep_school,Kumon,060750308003
3540255994,37.738532,-122.4678624,,,Zephyr Real Estate,060750308003
3542728897,37.7373445,-122.4702143,,,Raymond James,060750308004
3542728903,37.7378039,-122.469558,,,Mary Zell Spellman,060750308004
3542728995,37.7378267,-122.4695254,,,Frosch Travel,060750308004
3542750193,37.7372086,-122.4702675,,,H&R Block,060750308004
3545343709,37.744436,-122.4530137,amenity,bank,Tri Counties Bank,060750306002
3545344096,37.7444725,-122.4529427,shop,convenience,Miraloma Liquors,060750306002
3545344201,37.7439096,-122.4536442,,,Cruises & Beyond,060750306002
3545345699,37.7438818,-122.4536779,amenity,bar,Miraloma Club,060750306002
3545345701,37.7445969,-122.452742,,,Berkshire Hathaway HomeServices,060750306002
3545348394,37.7446634,-122.4526288,amenity,cafe,Creighton's Cafe & Bakery,060750306002
3545350294,37.7439573,-122.453586,amenity,cafe,Pop's Sandwich Shop,060750306002
3545461134,37.7446359,-122.4526743,amenity,cafe,Starbucks,060750306002
3559573562,37.7404952,-122.4659263,shop,convenience,Eezy Freezy,060750308001
3562957693,37.7427094,-122.4808806,amenity,cafe,Tea for Me,060750330021
3562957694,37.742708,-122.4809329,amenity,bar,Dragon Lounge,060750330021
3562957695,37.7427513,-122.4796494,amenity,school,Inspire Music Center,060750330021
3563920172,37.7710733,-122.4029823,,,Schawk!,060750180003
3564515773,37.7430986,-122.4776508,amenity,cafe,Quickly,060750328012
3564521986,37.7427662,-122.479296,shop,supermarket,Good Luck Market,060750330021
3565166179,37.7949053,-122.4214053,amenity,cafe,Cafe Réveille,060750110023
3567489498,37.7708073,-122.4033554,,,Practice Fusion,060750180003
3567667846,37.7964832,-122.4108642,,,D.W. graphics & sign,060750107011
3575638143,37.7220332,-122.4796446,,,Anthropology,060750332011
3575638144,37.722341,-122.4803463,,,Art,060750332011
3575638145,37.7234763,-122.4764583,,,Biology,060750332011
3575638146,37.7217428,-122.4794958,,,Broadcast and Electronic Communication Arts,060750332011
3575638147,37.7241246,-122.4768166,,,Chemistry and Biochemistry,060750332011
3575638148,37.7222598,-122.4797161,,,,060750332011
3575638150,37.7240367,-122.4768238,,,Computer Science,060750332011
3575638151,37.7221641,-122.4810969,,,Creative Writing,060750332011
3575638152,37.7219107,-122.4768586,,,Decision Sciences,060750332011
3575638153,37.7220037,-122.4798582,,,Design and Industry,060750332011
3575638154,37.7242277,-122.4768097,,,Earth & Climate Science,060750332011
3575638155,37.7229791,-122.479973,,,Elementary Education,060750332011
3575638156,37.7220788,-122.4807272,,,English,060750332011
3575638157,37.7221665,-122.481181,,,Foreign Languages and Literatures,060750332011
3575638158,37.7222958,-122.4761757,,,Geography & Environment,060750332011
3575638159,37.7218387,-122.4768867,,,Hospitality & Tourism Management,060750332011
3575638160,37.7227039,-122.4808735,,,Humanities,060750332011
3575638161,37.7218087,-122.476218,,,International Relations,060750332011
3575638162,37.7228175,-122.4811551,,,Jewish Studies,060750332011
3575638164,37.7231551,-122.4797928,,,Liberal Studies,060750332011
3575638165,37.7239725,-122.4770119,,,Mathematics,060750332011
3575638166,37.7225662,-122.4813501,,,Philosophy,060750332011
3575638167,37.7236872,-122.4768458,,,Physics & Astronomy,060750332011
3575638168,37.7220164,-122.4761178,,,Political Science,060750332011
3575638169,37.7233658,-122.4792869,,,Psychology,060750332011
3575638172,37.7229384,-122.479984,,,Secondary Education,060750332011
3575638173,37.7230346,-122.4793681,,,Special Education & Communicative Disorders,060750332011
3575638174,37.7217768,-122.4796288,,,Theatre Arts,060750332011
3575638175,37.7226958,-122.4811303,,,Women & Gender Studies,060750332011
3577376253,37.7437445,-122.4246216,amenity,bar,The Bar on Dolores,060750215003
3577449193,37.7641132,-122.4329134,amenity,bank,BMO,060750203003
3577596493,37.7702061,-122.402253,amenity,cafe,i'a poke,060750607021
3590392021,37.743828,-122.4262587,,,American Eagle Consulting & Bookkeeping,060750215002
3597327597,37.7776992,-122.3918514,,,Webcor,060750607031
3604311619,37.779942,-122.3917091,,,Realm,060750615022
3609388694,37.7981805,-122.4187129,,,Lemanski & Rockwell Architects Inc,060750109012
3611822692,37.7881229,-122.421632,amenity,bar,Route 101,060750120011
3622464002,37.7408294,-122.4654436,amenity,bar,Philosophers Club,060750308001
3622501804,37.7385712,-122.468633,,,Supreme Lending,060750308004
3622518796,37.7383964,-122.4688604,,,Nelson Louie & Wong,060750308004
3622521497,37.7397522,-122.467501,,,Century 21,060750308004
3622533393,37.7396303,-122.46741,,,Charles Schwab,060750308004
3630460031,37.7429532,-122.4700815,,,Suarez-Kuehne,060750308005
3633164824,37.7434864,-122.4685138,,,"Baynet & Company, Inc.",060750304002
3633581917,37.7433528,-122.4717976,,,Irene Tsang Insurance Agency,060750304005
3634308480,37.7641987,-122.4658639,amenity,bar,Yancy's Saloon,060750302021
3634734002,37.7434692,-122.4689154,,,Ditler Real Estate,060750304002
3634734005,37.7429174,-122.4693975,amenity,place_of_worship,Bay Church,060750308005
3634735197,37.7435265,-122.4712545,,,J.B. Shea Insurance Agency,060750304005
3634736594,37.7434759,-122.4688087,,,,060750304002
3634748093,37.7434796,-122.4687779,,,Ameristate Properties,060750304002
3635511794,37.7395108,-122.4668374,,,MacPherson & MacPherson,060750308003
3635632294,37.7394893,-122.4668143,,,West Portal Counseling Associates,060750308003
3635687395,37.7401756,-122.4670706,,,Mark A. Shustoff,060750308004
3635687396,37.7401831,-122.4670561,,,Lawrence A. Smith,060750308004
3641568148,37.7762395,-122.4168763,amenity,cafe,Blue Bottle Coffee,060750176033
3641710571,37.7764867,-122.4116366,shop,supermarket,Harvest Urban Market,060750176032
3642082213,37.787049,-122.4013107,amenity,bar,Novela,060750615013
3642090338,37.7868383,-122.3985675,amenity,cafe,SOMA Eats,060750615012
3642090340,37.7875676,-122.3985473,amenity,bar,Natoma Cabana,060750615011
3646668306,37.7495619,-122.460544,,,Mosher Financial,060750304001
3646668604,37.7494506,-122.4606599,,,San Francisco Public Defender's Juvenile Justice Center,060750304001
3648081328,37.7425855,-122.4891017,,,,060750329014
3648092326,37.7425182,-122.4903566,amenity,cafe,Chalos,060750329014
3648686275,37.7841613,-122.4175749,shop,convenience,Rainbow Market & Deli,060750124031
3656998556,37.7638958,-122.4668187,amenity,bank,Sterling Bank & Trust,060750302022
3657172981,37.7630712,-122.4661286,amenity,cafe,Snowbird Coffee,060750302022
3657172997,37.7624104,-122.4660712,amenity,cafe,San Francisco Tea & Coffee Company,060750302022
3658310526,37.7638465,-122.4677686,,,United Policyholders,060750302022
3658310528,37.7637154,-122.4664518,amenity,bar,Mucky Duck,060750302022
3658310636,37.7638842,-122.4671902,,,BCI Real Estate Services,060750302022
3658310637,37.7638902,-122.467048,amenity,cafe,Milk Tea Lab,060750302022
3658311027,37.7638269,-122.4683007,shop,convenience,Eddy's Market,060750302022
3658329125,37.7638728,-122.466458,,,Danfoura Law,060750302022
3658329128,37.7623056,-122.4663437,amenity,cafe,Donut World,060750302022
3660306838,37.7817167,-122.4186499,amenity,cafe,Cafe 450 Eurest Dining,060750124053
3660306839,37.7819699,-122.418683,,,Federal Bureau of Investigation San Francisco Field Office,060750124053
3663863508,37.8002496,-122.4098721,amenity,cafe,Mario's Bohemian Cigar Store Cafe,060750106003
3663873573,37.7999827,-122.4093604,amenity,cafe,Caffè Roma,060750106003
3663976016,37.7552947,-122.4229151,amenity,bar,Lone Palm,060750207011
3663976017,37.755278,-122.4230438,shop,convenience,Guerrero Market,060750207011
3667700832,37.7642801,-122.4639153,,,Jackson Fuller Real Estate,060750301013
3667700926,37.7642843,-122.4637059,amenity,bar,Foghorn Taproom,060750301013
3667880727,37.7642124,-122.4656453,amenity,cafe,Poke Origin,060750302021
3667880931,37.7639974,-122.4643912,amenity,bar,Fireside Bar,060750302022
3667881225,37.7620597,-122.4659325,amenity,prep_school,Ciclo Sewing Lab,060750302023
3667881625,37.7621197,-122.4649701,shop,convenience,Five Markets,060750302023
3669469797,37.7769228,-122.4159354,amenity,bank,First Republic,060750176033
3674255658,37.7649251,-122.4665715,amenity,cafe,Little Sweet,060750302021
3674255690,37.7658005,-122.465855,amenity,cafe,Sip Tea Room,060750302021
3675574681,37.7853121,-122.4161155,amenity,bar,The Nite Cap,060750122041
3681628155,37.7628446,-122.471412,amenity,language_school,Saint Anne's Chinese School,060750302012
3684500782,37.7608676,-122.4337728,amenity,bar,Moby Dick,060750206011
3686447521,37.7637916,-122.469159,amenity,cafe,Peasant Pies,060750302022
3686450976,37.7641267,-122.4681063,shop,convenience,Sakura,060750302021
3688683731,37.7637817,-122.4693255,amenity,cafe,Earth Tone Cafe,060750302022
3692778026,37.7640283,-122.4639425,amenity,cafe,Momo Tea,060750301014
3699162136,37.7426455,-122.481859,amenity,cafe,Marco Polo Italian Ice Cream,060750330021
3699162139,37.742937,-122.481211,amenity,cafe,El Café,060750328012
3699162140,37.742896,-122.4824066,amenity,cafe,Lou's Cafe,060750328012
3702076696,37.7253598,-122.4528514,amenity,cafe,Chasing Lions Cafe,060750310002
3702219079,37.8000247,-122.408984,amenity,bar,Tony Nik's Cafe,060750106003
3714379387,37.7836273,-122.4089761,,,Hack Reactor,060750125031
3740699568,37.7544797,-122.4211054,amenity,bar,Tinto,060750210001
3781718459,37.7429217,-122.4815993,,,Farmers Insurance,060750328012
3781718462,37.7427131,-122.480495,,,First National Realty,060750330021
3781718468,37.742766,-122.4786458,,,"Lynda Chang, CPA",060750330021
3781718469,37.7427955,-122.4786124,amenity,cafe,The Deli King,060750330021
3781718567,37.7427679,-122.4786123,,,Interstate Tax Service,060750330021
3781718568,37.7427979,-122.478571,amenity,cafe,Super Cue,060750330021
3781718569,37.7428079,-122.4784037,amenity,cafe,Antigua,060750330021
3781718758,37.7427052,-122.4807838,,,Care for Seniors,060750330021
3781719157,37.7429168,-122.481651,,,Intero San Francisco,060750328012
3781719158,37.7429274,-122.4813369,amenity,training,the Learning Place,060750328012
3789688057,37.7745113,-122.41094,amenity,cafe,café suspiro,060750178031
3790822857,37.7653238,-122.4528917,shop,convenience,Simple,060750301011
3790822864,37.7662623,-122.453074,shop,convenience,Parkview Market,060750301011
3790823457,37.7643959,-122.4526937,shop,convenience,Sunny Country Foods,060750301024
3799946959,37.7973068,-122.4345787,amenity,bar,The Brixton,060750130022
3801395648,37.7696736,-122.4506115,amenity,cafe,Coffee Cantata,060750166021
3801395653,37.7703672,-122.453137,amenity,school,San Francisco High School of the Arts,060750166021
3801395698,37.7696489,-122.4507189,amenity,bank,Wells Fargo,060750166021
3805998628,37.7222655,-122.4756425,,,Institute for Geographic Information Science,060750332011
3808454918,37.7908156,-122.4198906,amenity,bar,ZHUZH,060750111011
3811445840,37.7598361,-122.4235009,amenity,cafe,Java Supreme,060750207012
3811469214,37.7631425,-122.4264617,amenity,cafe,Maxfield's House of Caffeine,060750203002
3811475327,37.7614011,-122.4247039,shop,supermarket;convenience,Bi-Rite Market,060750207022
3815076557,37.7630785,-122.4229214,amenity,place_of_worship,Cornerstone SF Church,060750207021
3840285257,37.7391686,-122.4164133,,,2M Architecture,060750252004
3850073315,37.7639653,-122.4127878,shop,supermarket,Gus's Community Market,060750228011
3853311617,37.7678129,-122.429452,amenity,bar,Last Rites,060750169002
