date,tavg,tmin,tmax,prcp,temp_range,is_rainy,is_hot_day
2024-03-25,12.3,8.3,16.1,0.0,7.800000000000001,0,0
2024-03-26,12.5,10.0,15.6,0.0,5.6,0,0
2024-03-27,12.5,10.0,15.0,4.6,5.0,1,0
2024-03-28,12.9,10.6,16.1,0.0,5.500000000000002,0,0
2024-03-29,10.8,8.9,12.8,12.4,3.9000000000000004,1,0
2024-03-30,12.2,6.7,18.3,0.0,11.600000000000001,0,0
2024-03-31,12.2,8.3,17.2,0.0,8.899999999999999,0,0
2024-04-01,13.6,6.7,20.6,0.0,13.900000000000002,0,0
2024-04-02,13.5,8.3,20.0,0.0,11.7,0,0
2024-04-03,12.3,10.0,15.0,0.0,5.0,0,0
2024-04-04,9.3,5.6,12.8,15.2,7.200000000000001,1,0
2024-04-05,9.3,3.9,14.4,0.0,10.5,0,0
2024-04-06,10.2,4.4,15.0,0.0,10.6,0,0
2024-04-07,11.1,4.4,16.7,0.0,12.299999999999999,0,0
2024-04-08,12.6,5.6,18.9,0.0,13.299999999999999,0,0
2024-04-09,13.8,7.8,21.1,0.0,13.3,0,0
2024-04-10,15.1,8.9,23.3,0.0,14.4,0,0
2024-04-11,15.3,10.6,22.2,0.0,11.6,0,0
2024-04-12,13.3,10.0,16.7,0.0,6.699999999999999,0,0
2024-04-13,10.5,8.3,14.4,10.4,6.1,1,0
2024-04-14,11.1,7.2,15.6,1.5,8.399999999999999,1,0
2024-04-15,13.1,10.6,17.2,0.0,6.6,0,0
2024-04-16,14.3,8.9,21.7,0.0,12.799999999999999,0,0
2024-04-17,16.1,10.6,23.9,0.0,13.299999999999999,0,0
2024-04-18,14.4,11.1,21.1,0.0,10.000000000000002,0,0
2024-04-19,13.2,10.6,17.2,0.0,6.6,0,0
2024-04-20,14.1,10.6,18.9,0.0,8.299999999999999,0,0
2024-04-21,15.9,10.6,22.8,0.0,12.200000000000001,0,0
2024-04-22,15.8,11.7,20.6,0.0,8.900000000000002,0,0
2024-04-23,14.7,13.3,17.8,0.0,4.5,0,0
2024-04-24,14.8,11.7,17.8,0.0,6.100000000000001,0,0
2024-04-25,14.0,11.7,17.8,0.0,6.100000000000001,0,0
2024-04-26,14.7,11.7,18.9,0.0,7.199999999999999,0,0
2024-04-27,13.5,8.3,18.3,0.0,10.0,0,0
2024-04-28,14.0,9.4,18.9,0.0,9.499999999999998,0,0
2024-04-29,14.7,8.9,20.0,0.0,11.1,0,0
2024-04-30,14.0,8.3,19.4,0.0,11.099999999999998,0,0
2024-05-01,15.1,8.3,22.8,0.0,14.5,0,0
2024-05-02,15.1,9.4,20.0,0.0,10.6,0,0
2024-05-03,14.3,11.1,20.0,0.0,8.9,0,0
2024-05-04,11.9,9.4,13.3,18.5,3.9000000000000004,1,0
2024-05-05,12.2,8.9,16.7,0.0,7.799999999999999,0,0
2024-05-06,12.5,6.1,17.8,0.0,11.700000000000001,0,0
2024-05-07,14.5,7.2,20.0,0.0,12.8,0,0
2024-05-08,18.8,8.3,27.2,0.0,18.9,0,1
2024-05-09,20.5,13.3,29.4,0.0,16.099999999999998,0,1
2024-05-10,17.8,11.7,27.2,0.0,15.5,0,1
2024-05-11,15.8,11.7,21.1,0.0,9.400000000000002,0,0
2024-05-12,13.8,11.1,17.8,0.0,6.700000000000001,0,0
2024-05-13,12.8,10.6,16.7,0.0,6.1,0,0
2024-05-14,13.4,11.1,18.9,0.0,7.799999999999999,0,0
2024-05-15,14.1,11.7,17.8,0.0,6.100000000000001,0,0
2024-05-16,15.2,12.8,20.0,0.0,7.199999999999999,0,0
2024-05-17,14.4,11.7,18.9,0.0,7.199999999999999,0,0
2024-05-18,14.8,12.2,19.4,0.0,7.199999999999999,0,0
2024-05-19,14.2,11.7,18.9,0.0,7.199999999999999,0,0
2024-05-20,14.6,10.6,20.0,0.0,9.4,0,0
2024-05-21,15.6,9.4,22.8,0.0,13.4,0,0
2024-05-22,15.0,10.6,20.0,0.0,9.4,0,0
2024-05-23,14.3,10.0,18.9,0.0,8.899999999999999,0,0
2024-05-24,12.2,10.6,13.9,0.0,3.3000000000000007,0,0
2024-05-25,13.0,11.1,16.7,0.0,5.6,0,0
2024-05-26,14.0,10.6,19.4,0.0,8.799999999999999,0,0
2024-05-27,13.3,11.1,17.2,0.0,6.1,0,0
2024-05-28,14.2,11.1,18.3,0.0,7.200000000000001,0,0
2024-05-29,16.5,10.0,23.9,0.0,13.899999999999999,0,0
2024-05-30,17.4,10.6,23.9,0.0,13.299999999999999,0,0
2024-05-31,16.4,12.2,22.8,0.0,10.600000000000001,0,0
2024-06-01,14.2,11.7,17.2,0.0,5.5,0,0
2024-06-02,15.0,12.2,18.9,0.0,6.699999999999999,0,0
2024-06-03,15.8,12.8,21.1,0.0,8.3,0,0
2024-06-04,18.7,12.2,26.1,0.0,13.900000000000002,0,1
2024-06-05,20.1,15.0,28.3,0.0,13.3,0,1
2024-06-06,15.6,12.2,19.4,0.0,7.199999999999999,0,0
2024-06-07,15.9,11.7,21.1,0.0,9.400000000000002,0,0
2024-06-08,15.2,12.8,18.9,0.0,6.099999999999998,0,0
2024-06-09,15.0,12.8,18.9,0.0,6.099999999999998,0,0
2024-06-10,15.3,12.2,20.6,0.0,8.400000000000002,0,0
2024-06-11,18.8,11.7,29.4,0.0,17.7,0,1
2024-06-12,17.0,13.3,21.7,0.0,8.399999999999999,0,0
2024-06-13,15.1,12.8,18.3,0.0,5.5,0,0
2024-06-14,16.2,13.3,20.6,0.0,7.300000000000001,0,0
2024-06-15,17.2,13.3,23.9,0.0,10.599999999999998,0,0
2024-06-16,17.6,11.7,23.3,0.0,11.600000000000001,0,0
2024-06-17,18.8,13.3,26.1,0.0,12.8,0,1
2024-06-18,18.1,12.8,25.0,0.0,12.2,0,0
2024-06-19,14.6,11.1,17.8,0.0,6.700000000000001,0,0
2024-06-20,14.1,12.2,17.8,0.0,5.600000000000001,0,0
2024-06-21,15.0,12.2,21.1,0.0,8.900000000000002,0,0
2024-06-22,17.4,12.8,24.4,0.0,11.599999999999998,0,0
