geoid,neighbor
060750214003,060750211003
060750214003,060750213001
060750214003,060750214001
060750214003,060750214002
060750214001,060750210003
060750214001,060750211002
060750214001,060750214002
060750214001,060750214003
060750211002,060750210002
060750211002,060750211001
060750211002,060750211003
060750211002,060750214001
060750211003,060750211001
060750211003,060750211002
060750211003,060750211004
060750211003,060750212001
060750211003,060750212002
060750211003,060750214003
060750211001,060750206021
060750211001,060750207011
060750211001,060750210001
060750211001,060750211002
060750211001,060750211003
060750211001,060750211004
060750211004,060750206021
060750211004,060750206022
060750211004,060750211001
060750211004,060750211003
060750211004,060750212001
060750206022,060750205002
060750206022,060750205003
060750206022,060750206011
060750206022,060750206021
060750206022,060750211004
060750206021,060750206011
060750206021,060750206022
060750206021,060750207013
060750206021,060750211001
060750206021,060750211004
060750207011,060750207013
060750207011,060750208013
060750207011,060750210001
060750207011,060750211001
060750208013,060750207011
060750208013,060750208012
060750208013,060750209001
060750208013,060750209004
060750208013,060750228031
060750207013,060750206021
060750207013,060750207011
060750207013,060750207012
060750207013,060750208012
060750208012,060750207013
060750208012,060750208011
060750208012,060750208013
060750208012,060750228013
060750207012,060750206011
060750207012,060750207013
060750207012,060750207022
060750207012,060750208011
060750208011,060750207012
060750208011,060750208012
060750208011,060750208022
060750208011,060750228013
060750207022,060750206011
060750207022,060750207012
060750207022,060750207021
060750207022,060750208022
060750208022,060750207022
060750208022,060750208011
060750208022,060750208021
060750208022,060750228011
060750207021,060750202012
060750207021,060750206012
060750207021,060750207022
060750207021,060750208021
060750208021,060750201022
060750208021,060750201023
060750208021,060750207021
060750208021,060750208022
060750208021,060750228011
060750204012,060750204011
060750204012,060750204022
060750204012,060750204024
060750204012,060750301022
060750204012,060750305001
060750205002,060750204013
060750205002,060750205001
060750205002,060750205003
060750205002,060750206011
060750205002,060750206022
060750204011,060750170002
060750204011,060750171012
060750204011,060750204012
060750204011,060750204013
060750204011,060750204023
060750204011,060750301022
060750204013,060750170002
060750204013,060750170003
060750204013,060750204011
060750204013,060750204023
060750204013,060750205001
060750204013,060750205002
060750205001,060750170003
060750205001,060750203003
060750205001,060750204013
060750205001,060750205002
060750205001,060750206012
060750170002,060750170003
060750170002,060750170004
060750170002,060750171012
060750170002,060750204011
060750170002,060750204013
060750170003,060750169001
060750170003,060750170002
060750170003,060750170004
060750170003,060750204013
060750170003,060750205001
060750171011,060750167003
060750171011,060750170004
060750171011,060750171012
060750171011,060750171013
060750171011,060750171021
060750170004,060750167003
060750170004,060750169001
060750170004,060750170001
060750170004,060750170002
060750170004,060750170003
060750170004,060750171011
060750170001,060750167002
060750170001,060750167003
060750170001,060750169001
060750170001,060750170004
060750264031,060750264011
060750264031,060750264012
060750264031,060750264032
060750264031,060750264042
060750264031,060750610001
060750264032,060750264012
060750264032,060750264022
060750264032,060750264023
060750264032,060750264031
060750264032,060750610001
060750264012,060750264011
060750264012,060750264023
060750264012,060750264031
060750264012,060750264032
060750264012,060759805011
060750264023,060750259002
060750264023,060750264012
060750264023,060750264021
060750264023,060750264022
060750264023,060750264032
060750264023,060759805011
060750264021,060750259002
060750264021,060750264022
060750264021,060750264023
060750259002,060750257023
060750259002,060750258001
060750259002,060750258002
060750259002,060750259001
060750259002,060750264021
060750259002,060750264022
060750259002,060750264023
060750259002,060759805011
060750258001,060750257021
060750258001,060750258002
060750258001,060750259002
060750257021,060750230013
060750257021,060750233002
060750257021,060750257022
060750257021,060750257023
060750257021,060750258001
060750257021,060750258002
060750257023,060750257013
060750257023,060750257021
060750257023,060750257022
060750257023,060750259001
060750257023,060750259002
060750257013,060750256002
060750257013,060750257011
060750257013,060750257012
060750257013,060750257022
060750257013,060750257023
060750257013,060750259001
060750610001,060750264022
060750610001,060750264031
060750610001,060750264032
060750610001,060750610002
060750610001,060750610003
060750610003,060750234002
060750610003,060750610001
060750610003,060750610002
060750610003,060759806001
060750610002,060750233001
060750610002,060750234001
060750610002,060750234002
060750610002,060750258002
060750610002,060750264022
060750610002,060750610001
060750610002,060750610003
060750264022,060750258002
060750264022,060750259002
060750264022,060750264021
060750264022,060750264023
060750264022,060750264032
060750264022,060750610001
060750264022,060750610002
060750258002,060750233001
060750258002,060750257021
060750258002,060750258001
060750258002,060750259002
060750258002,060750264022
060750258002,060750610002
060750234002,060750232002
060750234002,060750234001
060750234002,060750610002
060750234002,060750610003
060750234002,060759806001
060750233001,060750233002
060750233001,060750234001
060750233001,060750258002
060750233001,060750610002
060759806001,060750231032
060759806001,060750232002
060759806001,060750234002
060759806001,060750610003
060759806001,060759902000
060750234001,060750232001
060750234001,060750232002
060750234001,060750233001
060750234001,060750233002
060750234001,060750234002
060750234001,060750610002
060750233002,060750230013
060750233002,060750230031
060750233002,060750230032
060750233002,060750232001
060750233002,060750233001
060750233002,060750234001
060750233002,060750257021
060750264042,060750264011
060750264042,060750264031
060750264042,060750264041
060750264041,060750264011
060750264041,060750264042
060750264041,060750605022
060750264041,060750605023
060750264011,060750264012
060750264011,060750264031
060750264011,060750264041
060750264011,060750264042
060750264011,060750605021
060750264011,060759805011
060759805011,060750256003
060759805011,060750259001
060759805011,060750259002
060759805011,060750260022
060759805011,060750260031
060759805011,060750260032
060759805011,060750263023
060759805011,060750264011
060759805011,060750264012
060759805011,060750264023
060759805011,060750605021
060750259001,060750256002
060750259001,060750256003
060750259001,060750257013
060750259001,060750257023
060750259001,060750259002
060750259001,060759805011
060750256002,060750256001
060750256002,060750256003
060750256002,060750257011
060750256002,060750257013
060750256002,060750259001
060750257011,060750254032
060750257011,060750256001
060750257011,060750256002
060750257011,060750257012
060750257011,060750257013
060750254032,060750254012
060750254032,060750254013
060750254032,060750254021
060750254032,060750254022
060750254032,060750254023
060750254032,060750254031
060750254032,060750256001
060750254032,060750257011
060750254032,060750257012
060750254021,060750252003
060750254021,060750252004
060750254021,060750254012
060750254021,060750254022
060750254021,060750254032
060750254022,060750252003
060750254022,060750254021
060750254022,060750254023
060750254022,060750254032
060750232002,060750231022
060750232002,060750231032
060750232002,060750232001
060750232002,060750232003
060750232002,060750234001
060750232002,060750234002
060750232002,060759806001
060750232001,060750230031
060750232001,060750232002
060750232001,060750232003
060750232001,060750233002
060750232001,060750234001
060750230013,060750230011
060750230013,060750230012
060750230013,060750230032
060750230013,060750233002
060750230013,060750257021
060750230013,060750257022
060750232003,060750230031
060750232003,060750231022
060750232003,060750232001
060750232003,060750232002
060750232003,060750612001
060750232003,060750612003
060750230031,060750230032
060750230031,060750230033
